Cohort	Sample_t0	Sample_t1	Species	NumTestedSNPs	NumSNPChanges	NumTestedGenes	NumGeneChanges	NumPrivateSNVs	NumPrivateReversions
hmp	700013597	700097291	Alistipes_onderdonkii_55464	1958850	0	2631	0	82	0
hmp	700013597	700097291	Alistipes_putredinis_61533	1404070	0	1839	0	54	0
hmp	700013597	700097291	Alistipes_shahii_62199	1497670	0	1709	0	45	0
hmp	700013597	700097291	Bacteroides_eggerthii_54457	2376140	1	3309	0	40	0
hmp	700013600	700034565	Akkermansia_muciniphila_55290	1648560	2	2437	0	25	0
hmp	700013600	700034565	Alistipes_shahii_62199	1503610	0	1709	0	59	0
hmp	700013603	700099002	Bacteroides_massiliensis_44749	2591800	3	3044	0	38	0
hmp	700013603	700099002	Bacteroides_stercoris_56735	2399220	0	3009	0	23	0
hmp	700013603	700099002	Bacteroides_thetaiotaomicron_56941	3160790	0	5336	0	267	0
hmp	700013603	700099002	Bacteroides_uniformis_57318	1412670	0	5053	0	37	0
hmp	700013603	700099002	Bacteroides_vulgatus_57955	2968310	6	8885	0	39	0
hmp	700013672	700099059	Alistipes_putredinis_61533	1427420	7080	1839	20	51	51
hmp	700013693	700095287	Bacteroides_cellulosilyticus_58046	2257770	0	9515	0	1736	0
hmp	700013715	700097837	Alistipes_finegoldii_56071	1857700	0	2229	0	142	0
hmp	700013715	700097837	Alistipes_onderdonkii_55464	1747460	20	2631	0	39	0
hmp	700013715	700097837	Alistipes_putredinis_61533	1516060	0	1839	0	25	0
hmp	700013715	700097837	Bacteroides_caccae_53434	3252410	4	3561	0	34	2
hmp	700013715	700097837	Bacteroides_stercoris_56735	2415380	1	3009	0	28	0
hmp	700013715	700097837	Parabacteroides_distasonis_56985	2950250	0	7002	0	252	0
hmp	700014386	700095353	Alistipes_finegoldii_56071	1994640	31	2229	0	49	1
hmp	700014386	700095353	Alistipes_putredinis_61533	1411000	0	1839	0	70	0
hmp	700014386	700095353	Bacteroides_stercoris_56735	2466950	2	3009	0	26	0
hmp	700014386	700095353	Parabacteroides_merdae_56972	2974510	0	3554	0	20	0
hmp	700014562	700098359	Bacteroides_cellulosilyticus_58046	3172030	1	9515	1	42	1
hmp	700014562	700098359	Parabacteroides_merdae_56972	2855390	1	3554	0	19	0
hmp	700014724	700097196	Alistipes_finegoldii_56071	1898920	0	2229	0	133	0
hmp	700014724	700097196	Alistipes_putredinis_61533	1406990	0	1839	0	40	0
hmp	700014724	700097196	Bacteroides_caccae_53434	3227520	0	3561	2	55	0
hmp	700014724	700097196	Bacteroides_fragilis_54507	3227730	0	10828	11	19	0
hmp	700014724	700097196	Bacteroides_ovatus_58035	2308460	0	6575	5	9	0
hmp	700014724	700097196	Bacteroides_stercoris_56735	2424130	0	3009	0	18	0
hmp	700014724	700097196	Bacteroides_thetaiotaomicron_56941	2986240	0	5336	0	957	0
hmp	700014724	700097196	Bacteroides_uniformis_57318	1332840	0	5053	1	7	0
